央视频道,#genre#
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8

省内频道,#genre#
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL00000313/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000054/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000055/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000056/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000058/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL10000062/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
济南科教,http://150.138.8.143/00/SNM/CHANNEL00000245/index.m3u8
济南新闻,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南影视,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南商务,http://150.138.8.143/00/SNM/CHANNEL00000066/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南长清新闻,http://150.138.8.143/00/SNM/CHANNEL00001018/index.m3u8
济南济阳综合,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
济南平阴综合,http://150.138.8.143/00/SNM/CHANNEL00001050/index.m3u8
上海纪实人文,http://150.138.8.143/00/SNM/CHANNEL00000333/index.m3u8
海洋频道,http://150.138.8.143/00/SNM/CHANNEL00000662/index.m3u8
QTV-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
QTV-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
QTV-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
QTV-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
QTV-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
QTV-6,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
青岛平度新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8
青岛莱西综合,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
即墨综合,http://jsylivealone302.iqilu.com/live/jimo_tv01.m3u8
即墨生活,http://jsylivealone302.iqilu.com/live/jimo_tv02.m3u8
崂山综合,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
胶州新闻,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
黄岛新闻,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
德州新闻,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州公共,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
德州宁津新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
德州齐河新闻,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
德州武城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
德州武城综艺影视,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
德州禹城综合,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
德州禹城综艺,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
德州平原新闻,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
德州夏津综合,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
德州夏津公共,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8
德州陵城新闻,http://150.138.8.143/00/SNM/CHANNEL00001082/index.m3u8
临邑综合,http://150.138.8.143/00/SNM/CHANNEL00001104/index.m3u8
潍坊新闻,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊都市,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
潍坊高新,http://150.138.8.143/00/SNM/CHANNEL00001106/index.m3u8
潍坊影视,http://150.138.8.143/00/SNM/CHANNEL00000217/index.m3u8
潍坊科教,http://150.138.8.143/00/SNM/CHANNEL00000218/index.m3u8
潍坊寿光新闻,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8
潍坊寿光蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
潍坊诸城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
潍坊安丘新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001015/index.m3u8
潍坊昌乐新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
