央视频道,#genre#
QTV-1-SD,http://127.0.0.1:4022/udp/239.21.1.69:5002
QTV-2-SD,http://127.0.0.1:4022/udp/239.21.1.70:5002
QTV-3-SD,http://127.0.0.1:4022/udp/239.21.1.71:5002
QTV-4-SD,http://127.0.0.1:4022/udp/239.21.1.72:5002
QTV-5-SD,http://127.0.0.1:4022/udp/239.21.1.73:5002
QTV-6-SD,http://127.0.0.1:4022/udp/239.21.1.74:5002
平度新闻综合,http://127.0.0.1:4022/udp/239.21.1.228:5002
莱西综合,http://127.0.0.1:4022/udp/239.21.1.247:5002
崂山综合,http://127.0.0.1:4022/udp/239.21.1.223:5002#http://127.0.0.1:4022/udp/239.21.2.122:5002
胶州综合,http://127.0.0.1:4022/udp/239.21.2.60:5002
黄岛综合,http://127.0.0.1:4022/udp/239.21.2.57:5002
黄岛生活,http://127.0.0.1:4022/udp/239.21.2.58:5002
威海乳山综合,http://127.0.0.1:4022/udp/239.21.1.220:5002
威海荣成综合,http://127.0.0.1:4022/udp/239.21.1.227:5002
文登,http://127.0.0.1:4022/udp/239.21.1.174:5002
威海新闻综合-SD,http://127.0.0.1:4022/udp/239.21.2.155:5002
威海都市生活-SD,http://127.0.0.1:4022/udp/239.21.2.156:5002
烟台新闻综合,http://127.0.0.1:4022/udp/239.21.1.116:5002
烟台经济科技,http://127.0.0.1:4022/udp/239.21.1.205:5002
烟台影视,http://127.0.0.1:4022/udp/239.21.1.204:5002
招远综合,http://127.0.0.1:4022/udp/239.21.2.145:5002
龙口综合,http://127.0.0.1:4022/udp/239.21.2.146:5002
栖霞综合-SD,http://127.0.0.1:4022/udp/239.21.1.229:5002
牟平综合-SD,http://127.0.0.1:4022/udp/239.21.2.10:5002
牟平生活-SD,http://127.0.0.1:4022/udp/239.21.2.11:5002
蓬莱新闻,http://127.0.0.1:4022/udp/239.21.2.56:5002
海阳综合,http://127.0.0.1:4022/udp/239.21.2.64:5002#http://127.0.0.1:4022/udp/239.21.2.68:5002
海阳综艺,http://127.0.0.1:4022/udp/239.21.2.65:5002
长岛综合,http://127.0.0.1:4022/udp/239.21.2.52:5002
淄博新闻,http://127.0.0.1:4022/udp/239.21.1.84:5002
淄博影视,http://127.0.0.1:4022/udp/239.21.1.182:5002
淄川新闻,http://127.0.0.1:4022/udp/239.21.1.160:5002
周村新闻-SD,http://127.0.0.1:4022/udp/239.21.2.150:5002
