央视频道,#genre#
河南卫视,http://123.132.234.158:8154/tsfile/live/0139_1.m3u8
北京卫视,http://222.134.240.136:9901/tsfile/live/0122_1.m3u8#http://123.132.234.158:8154/tsfile/live/0122_1.m3u8
浙江卫视,http://222.134.240.136:9901/tsfile/live/0124_1.m3u8#http://123.132.234.158:8154/tsfile/live/0124_1.m3u8
江苏卫视,http://222.134.240.136:9901/tsfile/live/0127_1.m3u8#http://123.132.234.158:8154/tsfile/live/0127_1.m3u8
安徽卫视,http://222.134.240.136:9901/tsfile/live/0130_1.m3u8#http://123.132.234.158:8154/tsfile/live/0130_1.m3u8
江西卫视,http://222.134.240.136:9901/tsfile/live/0138_1.m3u8#http://123.132.234.158:8154/tsfile/live/0138_1.m3u8
东南卫视,http://222.134.240.136:9901/tsfile/live/0137_1.m3u8#http://123.132.234.158:8154/tsfile/live/0137_1.m3u8
湖北卫视,http://222.134.240.136:9901/tsfile/live/0132_1.m3u8#http://123.132.234.158:8154/tsfile/live/0132_1.m3u8
湖南卫视,http://222.134.240.136:9901/tsfile/live/0128_1.m3u8#http://123.132.234.158:8154/tsfile/live/0128_1.m3u8
四川卫视,http://222.134.240.136:9901/tsfile/live/0123_1.m3u8#http://123.132.234.158:8154/tsfile/live/0123_1.m3u8
贵州卫视,http://222.134.240.136:9901/tsfile/live/0120_1.m3u8#http://123.132.234.158:8154/tsfile/live/0120_1.m3u8
广东卫视,http://222.134.240.136:9901/tsfile/live/0125_1.m3u8#http://123.132.234.158:8154/tsfile/live/0125_1.m3u8
重庆卫视,http://222.134.240.136:9901/tsfile/live/0142_1.m3u8#http://123.132.234.158:8154/tsfile/live/0142_1.m3u8
云南卫视,http://123.132.234.158:8154/tsfile/live/0119_1.m3u8
天津卫视,http://222.134.240.136:9901/tsfile/live/0135_1.m3u8#http://123.132.234.158:8154/tsfile/live/0135_1.m3u8
河北卫视,http://222.134.240.136:9901/tsfile/live/0117_1.m3u8#http://123.132.234.158:8154/tsfile/live/0117_1.m3u8
海南卫视,http://222.134.240.136:9901/tsfile/live/0114_1.m3u8#http://123.132.234.158:8154/tsfile/live/1000_1.m3u8
东方卫视,http://222.134.240.136:9901/tsfile/live/0107_1.m3u8#http://123.132.234.158:8154/tsfile/live/0107_1.m3u8
广西卫视,http://123.132.234.158:8154/tsfile/live/0113_1.m3u8
黑龙江卫视,http://222.134.240.136:9901/tsfile/live/0143_1.m3u8#http://123.132.234.158:8154/tsfile/live/0143_1.m3u8
吉林卫视,http://123.132.234.158:8154/tsfile/live/0116_1.m3u8#http://222.134.240.136:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://222.134.240.136:9901/tsfile/live/0121_1.m3u8#http://123.132.234.158:8154/tsfile/live/0121_1.m3u8
CETV,http://222.134.240.136:9901/tsfile/live/1010_1.m3u8
